x,y,z
2.6177162,1.1585204,-0.4455998
2.9543079,-1.2818444,0.6333788
0.9645886,-2.7517475,0.5854836
2.3874591,0.1770697,-0.2959736
0.6983265,-2.8332623,0.1670753
1.2949149,1.4068969,-0.5027394
-1.7237031,1.5054605,-0.1902890
-1.4600937,-2.0456770,0.2158790
-0.2338540,-2.6612567,-0.0723963
0.0589697,3.4179974,0.0559189
-2.0862248,1.7087212,0.0571864
1.8630905,1.1455277,0.1297694
-2.3826295,0.0915390,0.5039936
-1.8773194,-1.1082639,0.2885521
-2.9044120,0.4307890,-0.5219662
0.5703628,2.6147240,-0.1379723
-0.3249602,2.7598390,-0.1311562
-1.5490449,-2.1100049,0.4646519
-2.2971830,1.1728741,-0.0601468
-1.8842285,1.0360513,-0.0217497
-2.3664275,-1.1171856,0.1155534
2.6326774,0.4606118,-0.5405379
1.2490658,-2.9224707,-0.4120594
-2.3768698,-1.8223230,-0.0007304
0.7596596,2.5004314,-0.6515270
-2.5024872,0.5975387,0.1373507
2.2881194,-0.0103696,-0.0630049
-2.1689585,-1.5608491,0.4207157
-2.0271637,-1.8226060,-0.2077089
1.8139701,-1.2985958,0.0238236
-1.7195635,-3.1699956,-0.9114349
0.6104854,2.6093184,-0.1539997
-2.0862041,2.7260837,0.0970816
-0.1041739,2.5137064,-0.2420119
-1.9978864,1.7439789,0.2068816
-3.1478056,0.0475975,-0.0173254
-1.4795377,-2.7187387,-0.1345830
-0.2107969,-3.1114566,-0.1865587
-1.5921416,2.3795872,-0.2864532
-0.1885415,2.2567195,0.0018217
-1.5554065,2.1022837,-0.5759311
-0.0848578,2.7110844,0.0538725
0.5048094,2.4848190,0.0166907
-0.6527809,1.9551458,-0.0523081
0.4206694,2.8705806,-0.3067477
-0.2092239,-2.4612252,0.1009021
-2.3889049,2.2127013,0.2028485
-2.3774818,-2.2547065,0.2424245
2.4790228,-0.8949792,0.1209904
1.6745392,-1.1839892,0.0488847
-1.8442425,-1.2435638,0.2412644
1.5154832,2.4056095,-0.3525527
2.6314180,-0.6816012,-0.0924764
-1.9258917,2.6050931,0.0788518
-3.1412258,-0.0485535,0.0647336
1.4355763,2.3831158,-0.2841488
-1.6236559,-3.0178740,0.6344406
1.1906664,-2.4361008,0.1702302
2.4139893,-0.0323799,-0.0593975
-1.0173530,-2.5260975,0.1429572
2.4286571,0.5193164,0.5086299
2.6548388,-0.9596068,-0.0632753
1.8707442,-1.1450957,-0.0353282
2.8531542,-0.6991812,0.0405414
-3.2142735,1.1854340,0.0171707
-1.3156692,-2.7847131,-0.1377262
-2.0848324,1.9455891,-0.2738171
1.1006263,2.3223973,0.1263960
-2.7329345,-0.1771207,-0.0089782
-2.5535083,-0.7393299,0.2850093
1.2629147,-2.2002389,-0.3014484
0.3236080,-1.9882782,0.1810006
1.9144990,1.6973182,0.0603043
-0.7868068,2.5565439,-0.1904272
-2.5892085,2.2010842,0.1893862
2.9734084,1.1313605,0.0070977
-2.8156334,-0.2988805,-0.0103828
0.6168310,-2.9953193,-0.3661972
-2.7108853,-0.7142027,-0.0460909
0.0922295,2.1855833,-0.2517185
-3.1791098,-0.6865753,-0.0871653
-0.2705750,2.2250972,0.1049454
2.0080406,-1.5338224,-0.1991047
1.7612480,0.6022654,0.2384655
1.6155269,1.9007236,-0.2365118
-1.8183089,2.3638425,0.1667100
0.1752003,3.5516291,0.1672794
-2.7967024,1.5220932,-0.2387524
1.9108835,-0.8328218,0.2538330
-3.3433768,1.3908817,0.1393620
-0.7140199,2.2142457,0.0847139
-2.8925465,-1.6422039,0.5528376
-2.7653993,0.0021026,0.0281497
0.5071873,2.7910573,0.3873262
-3.2372418,-1.2449604,-0.5351952
3.4238291,-0.1468474,0.5778995
-2.3983803,-2.0973178,0.5841827
0.4208424,2.3240297,0.6567395
1.6762717,-1.6948894,-0.5874267
-1.0294633,-2.5761243,0.2679239
-0.0472182,-2.3419900,-0.4059656
-0.7399343,2.5893804,-0.2357549
-2.1435815,1.9765273,0.0061996
1.6099983,2.1139815,0.0248365
2.2578451,-0.5872770,0.3553366
0.8422103,-3.1520386,-0.1779930
0.1155594,3.2334085,-0.5682081
-2.2883577,-1.9885764,-0.1740772
-2.6159512,0.5880321,0.0982099
2.5043578,0.3795077,-0.1969787
2.4827701,0.7418803,0.2113846
0.6887419,-2.1083314,-0.0581062
0.3109477,-2.2813675,0.0876679
2.5158140,1.3681208,-0.1736170
1.4703743,-1.8275638,0.0004298
-2.4075750,-0.1701269,0.1296761
0.1958645,-2.9303611,-0.7554814
0.1585375,-2.8038452,-0.2729959
-2.2297914,-1.6482022,0.0625257
-2.7850238,1.2577417,0.0322594
-2.8363991,-2.5256616,0.2612742
-3.0569091,0.8060353,-0.0200460
-2.2550459,-1.8816470,-0.3298699
0.9364717,-2.2826963,0.1237338
-1.2003019,-2.2489004,0.1989097
-0.8370223,2.3902617,0.1290211
-2.2084081,-1.6458227,-0.0388814
-1.7672570,-2.4446922,0.1238206
2.1747359,-1.4870194,-0.0992229
1.5569784,1.7187604,-0.9664055
1.6081101,-1.7780454,-0.1910371
1.5637180,-2.7575065,0.9788731
-0.7946515,3.2845167,0.2471119
1.9381466,1.2297090,0.3423966
-2.6470296,-0.5353350,-0.0509682
-2.0202071,1.4101094,-0.2745052
0.6106940,3.3346379,-0.6824662
-1.0060402,2.6067881,0.1301788
-0.8528322,-2.4587503,-0.4672696
-2.8899123,1.3807231,0.1313488
2.0254101,0.4264824,0.3501977
-2.1566080,0.4956732,-0.0717310
-0.4493992,2.7963522,0.4628046
-2.9421109,-1.3610750,0.2132644
2.2720159,1.2735971,-0.4337826
-0.2416140,2.8223225,0.1253686
2.7908544,-1.2759143,0.1034427
-2.8310929,-1.1157182,1.1996983
0.5679131,-2.1772257,0.0302456
0.3525881,2.8689144,-0.0931052
2.1629193,1.5421190,-0.0169477
2.6457380,1.4726920,-0.1215500
3.4306483,2.5329375,0.1183946
-2.8738083,-0.4759561,0.5097244
2.2089766,-2.1091127,-0.6105307
-1.4654442,2.1838257,-0.4006727
-2.2126115,0.2996762,0.4515082
1.8769273,1.9718276,0.0372626
-2.2007369,-2.3450386,0.3440663
-1.7011250,-2.3518768,-0.1384024
-2.0066039,1.7748244,0.3699125
3.4457961,0.1419952,-0.2008587
-1.3839346,-2.2785294,0.2202295
-1.5801519,-2.3990070,0.4505583
1.1157144,-2.6378973,-0.0940467
0.2082817,-2.8346471,0.3444865
1.4116015,-2.3562383,0.0754417
3.0419520,0.7099511,0.0564515
0.2690239,2.4225128,0.2346603
0.3704219,-2.6708285,-0.2730528
2.3869259,2.1924212,-0.1221315
1.6708796,-1.2866515,-0.0614883
-2.8213641,-1.5463914,0.7090896
-2.6260845,-0.3221365,-0.3624664
-2.8471459,-2.0113533,-0.0473040
0.4624412,2.5867019,-0.9452378
-0.5116329,2.4178370,0.0540079
-2.4318001,0.3925058,0.0706487
2.5129195,0.8454991,0.2915924
0.0312201,2.3351251,0.0239443
3.0663956,-0.0998646,-0.6046279
0.7306732,-2.5599177,0.0020094
1.7295307,-1.7987081,0.1716113
-2.9641785,0.5406755,-0.0197642
2.2769492,0.4258049,-0.5968243
-0.7297363,2.4133810,0.5902973
0.4522494,3.0386876,0.4962957
0.7670255,-2.1271576,0.3535658
-2.1567211,1.2774370,-0.1836206
1.1467728,-4.4538015,0.4704132
1.0285553,-2.6731695,0.4348702
-0.9754700,-2.4262091,-0.3105196
-2.1941515,0.8036243,0.0828287
-0.6557175,2.8241336,-0.8063491
-2.3925052,-1.5790786,-0.1563220
0.5118875,3.1130766,0.0584887
2.0125946,1.4879497,-0.2740653
-1.1811483,-2.2841682,-0.1820937
-2.0489592,-1.7129199,0.5541253
-0.1244282,2.4299777,0.2298138
-1.5251967,2.6003570,-0.1808019
2.2007508,2.0617547,-0.4687745
-1.4514104,2.2555708,0.1049810
-2.5295036,0.8117503,-0.2623459
-1.7341136,-2.2693225,0.1926185
-0.3208370,2.6083267,-0.1290745
-1.9442435,1.1475877,0.1295213
0.1345929,-2.9114580,-0.0887408
0.4288628,3.2602082,0.4094930
-1.9643945,-2.3399776,-0.0842886
-1.5937712,-3.1140787,-0.0820816
2.6384090,-1.5929163,0.0634940
-2.0796455,2.2941596,0.0658136
2.6349735,0.1916501,0.0600653
0.1158680,2.7819125,0.0726468
-2.1530939,-2.6816821,0.2199511
-1.4112356,-2.0066329,0.4341030
0.0524446,2.8047442,-0.7539729
-0.3565980,2.4027082,-0.4554378
0.3795647,-1.8676179,0.1019638
1.6325648,-2.1914419,0.1364433
-1.9092101,2.8665990,0.0890079
2.5897845,-2.2263612,-0.1146332
2.1668353,-1.3769705,-0.1118406
-1.1167560,-2.3888331,0.7453585
2.0707816,-0.9411022,-0.2291427
-2.7179612,0.9573196,-0.1259262
-0.4243399,-1.9006059,-0.0713720
-2.9566903,-2.0848482,-0.0167876
1.2639531,-1.9348810,0.3441048
-2.1298427,-1.4195433,-0.1565530
-1.9269037,1.1784631,-0.0149903
-2.9115294,0.0218191,-0.2649429
-2.8789518,0.2274497,0.4095428
1.2488465,2.7630833,-0.0025999
-0.6147238,-2.7233928,0.3579088
-2.7604068,-0.0642771,0.4713016
-3.0601254,0.4374365,-0.1405788
-3.2893064,-1.5996789,0.1693328
-2.9343868,-0.4760497,0.1051676
-3.3484106,0.0577432,-0.3234431
0.2423917,2.5295958,-0.4309722
-0.0304005,2.7346475,0.0430549
1.8734569,0.1570716,0.0382316
1.3845261,2.1041401,-0.0174368
-0.8725452,2.7344951,-0.6538338
-2.9923521,0.0031844,0.0023963
1.0089901,-2.0999698,0.1250231
-0.5461696,2.1522394,0.2901132
2.6508406,1.3274339,0.0330053
-0.2419901,-3.3277278,0.5840523
2.8935431,0.5930255,0.0937463
-3.1285090,-0.5122835,0.0637838
