m,peri,node,incl,e,n,a,date,x,y,z
145.84905,73.28579,80.25414,10.5879,0.079184,0.21418047,2.7666197,20241101,1.6207936,-2.4395338,-0.3757898
126.06756,310.89226,172.90614,34.92186,0.2304384,0.2137487,2.7703442,20240927,-0.0516009,-2.6480685,1.8391173
127.32529,247.81975,169.83829,12.98815,0.2561092,0.22588717,2.6701869,20240607,-2.8866713,-1.2533694,0.4020225
278.02316,151.67629,103.70474,7.14398,0.0900011,0.27169443,2.3609252,20240306,-2.2333431,0.6875336,0.2515333
350.98291,359.23648,141.46063,5.35914,0.1872507,0.23840266,2.5758979,20240603,-1.2762838,1.6701820,-0.0479541
248.27292,239.64813,138.61983,14.73436,0.2024234,0.26082989,2.4260392,20240817,-0.9840888,-2.4111710,0.6468754
314.75784,145.52013,259.49897,5.51948,0.2298579,0.2674152,2.3860452,20241105,1.9063939,-0.8107272,0.1954118
78.15445,285.4297,110.84571,5.89031,0.1565804,0.3018361,2.2010096,20241109,-1.4691228,1.6134620,0.0824117
38.92985,5.72797,68.86899,5.5782,0.1228015,0.26746801,2.3857311,20240603,-1.1925249,1.8098751,0.1723623
145.93643,312.63001,283.14844,3.83162,0.1104436,0.17702497,3.1413261,20241105,3.0277430,1.6161703,0.2220870
71.50262,196.07085,125.50589,4.63153,0.099433,0.25648366,2.4533692,20241108,1.7117289,1.6694909,-0.1914362
271.07526,69.56953,235.35583,8.3741,0.2202008,0.27638673,2.3341276,20240705,-2.3718160,-0.4921954,-0.2460517
305.54672,79.22238,43.208,16.53187,0.0854027,0.23814779,2.5777354,20241103,1.2689730,2.1019072,0.1968568
278.47409,98.05015,86.01014,9.12907,0.1630221,0.23650409,2.5896652,20241103,0.2779843,2.5810671,-0.0157031
21.74829,98.76876,292.88875,11.75582,0.187584,0.22925754,2.6439524,20241007,0.9494137,1.9555394,0.3403062
321.86559,229.58879,150.019,3.09723,0.1341243,0.19727834,2.9224681,20241102,2.2984153,-1.2942122,-0.0014887
91.43731,135.68951,125.53228,5.5924,0.1322065,0.25381291,2.4705496,20241031,2.4905895,0.3260446,-0.2170130
113.87109,228.05394,150.33595,10.13205,0.2182705,0.28348491,2.2950003,20241110,-2.2834362,1.1936566,0.0165989
353.0785,182.67025,211.03864,1.57362,0.1574996,0.25825938,2.4421105,20241103,1.8818100,0.8415472,0.0068470
284.30987,257.45788,205.97889,0.70933,0.1437312,0.26377861,2.4079252,20241102,2.3252132,0.4637395,0.0074490
142.86885,250.03029,80.8373,3.06459,0.1646959,0.2595325,2.4341176,20241111,-1.5270192,2.3132973,0.1004324
231.49217,357.99668,65.9744,13.7019,0.0988888,0.19848182,2.9106427,20241111,0.8681805,-2.9421560,-0.4853864
31.55503,61.55758,66.4921,10.10936,0.2309681,0.23131423,2.6282569,20240705,-2.1330865,0.0785336,0.3543406
346.13416,108.96103,36.39034,0.73676,0.1153213,0.17689487,3.1428662,20241110,-1.7126185,2.2071026,0.0359139
343.19156,90.20199,214.09236,21.60817,0.2542429,0.2650117,2.4004501,20240925,0.1142914,-1.7334831,0.5939896
199.47696,195.11094,45.75084,3.55712,0.0881558,0.22738194,2.6584719,20241106,0.6360527,2.8088249,0.0935141
163.43418,356.48239,94.76724,1.58335,0.1714459,0.27399448,2.3476941,20241003,-0.5070741,-2.6905225,0.0201487
340.33944,343.38567,144.15684,9.42186,0.1493356,0.21284962,2.77814,20241030,-0.4671948,2.3348645,-0.2686783
48.39596,62.00528,356.26097,6.07722,0.0736232,0.2414123,2.5544444,20240920,-0.9676231,2.2258223,0.2297542
157.17392,87.04962,307.41505,2.09342,0.1269883,0.27085224,2.3658167,20240711,-2.5365297,-0.7533621,-0.0903738
42.82667,61.80841,30.79895,26.32078,0.2159567,0.17549538,3.1595526,20240707,-2.3872330,0.9209670,0.9959982
146.94438,338.14768,220.36152,5.52221,0.0816492,0.23690075,2.5867736,20241106,2.7212233,-0.4661416,0.2047180
26.282,338.64985,8.42897,1.85197,0.3317359,0.20235509,2.8733815,20241110,1.6515832,1.3319340,0.0347739
215.23102,329.82953,184.32646,5.4978,0.1068438,0.22391329,2.6858565,20241110,2.9251212,0.1553425,0.0063303
234.15512,214.68962,353.26978,7.86404,0.2188175,0.18877345,3.0096,20241111,1.4716816,3.1135363,0.4509061
12.79736,47.8366,358.18419,18.37121,0.3064861,0.21658564,2.7460996,20241110,0.6317397,1.7459857,0.5861946
35.31553,62.17491,7.24171,3.06852,0.1750387,0.22951033,2.6420106,20240529,-1.1026489,2.0134958,0.1145277
35.73521,169.57651,295.50707,6.95146,0.150878,0.21715978,2.7412572,20240703,-2.1495835,1.1220218,-0.1776321
8.48027,209.95919,156.9261,10.37094,0.1120252,0.21396498,2.768477,20241009,2.3376066,0.7188865,-0.2887032
325.28827,269.36041,94.15642,4.25589,0.0460834,0.28873387,2.2671011,20241109,1.7975048,-1.2320070,-0.1267667
203.19379,46.49477,177.90454,15.73603,0.2716936,0.21392695,2.7688051,20241110,1.8259560,2.8500283,-0.8213161
359.93319,237.25613,84.1661,8.51124,0.2219832,0.25818882,2.4425555,20241105,1.4659029,-1.1860144,-0.2362793
20.93085,16.12739,264.74715,3.47069,0.1684711,0.30140061,2.2031292,20241101,1.2059036,-1.4227171,0.0807295
244.38864,344.1378,131.4879,3.71221,0.1495954,0.26146242,2.4221249,20241105,2.5368148,-0.6417762,-0.0957103
118.59878,87.33039,147.58415,6.60581,0.082995,0.21975222,2.7196553,20241106,2.8347468,0.0626560,-0.1821047
152.38414,177.08008,181.06973,2.35176,0.172418,0.24566398,2.5248858,20240703,-2.7144530,1.0850375,-0.0466349
94.01464,315.8982,2.97222,4.96797,0.1310309,0.20115812,2.8847687,20241111,1.1314513,2.7246698,0.2314246
70.21876,251.06317,183.42988,6.55899,0.0665066,0.17956092,3.1116794,20241110,-2.6978476,1.4201788,-0.1815558
240.77834,113.37707,284.98895,3.20128,0.2216468,0.18066125,3.0990318,20241011,-0.6120623,-3.4776144,-0.0833744
209.72508,200.03156,173.46493,2.83915,0.2848911,0.22825633,2.6516783,20240712,-2.8684965,-1.7189675,0.1008856
278.5707,1.89034,175.89925,9.97155,0.066139,0.27073566,2.3664958,20241107,0.0469692,2.3174783,-0.4069949
239.99155,342.9512,128.58051,7.48075,0.1116852,0.18127123,3.0920758,20241108,3.1042945,-1.0689640,-0.2311210
168.1956,314.30584,143.44036,5.18075,0.2028143,0.23250573,2.6192701,20241018,-0.0079122,-3.1343667,0.2286977
99.24925,345.6317,313.16775,11.79572,0.1969099,0.22053223,2.7132387,20241111,1.4481157,2.4409809,0.5693106
71.20086,5.16615,10.30602,7.17515,0.1450094,0.21501362,2.7594682,20241111,-0.6070104,2.5945919,0.3350314
357.83925,104.89548,192.93672,8.08121,0.237131,0.23547242,2.5972237,20241110,0.8090088,-1.7887251,0.2732445
99.88237,210.75954,198.89886,15.23636,0.1085555,0.17597462,3.1538137,20240703,-3.0558589,0.9684335,-0.5191520
335.07849,33.97945,161.06346,5.07231,0.0452679,0.2222627,2.6991374,20240707,-2.5306843,0.5475213,0.0269273
240.22822,211.03668,169.92129,8.64722,0.1168429,0.2204019,2.7143082,20240922,-0.9655001,-2.6976998,0.4296279
21.62034,270.77515,191.52688,3.60061,0.1845435,0.26638604,2.3921867,20241111,-1.3801884,1.4386160,-0.1060544
294.00688,12.86276,333.54969,18.20303,0.1641021,0.19102888,2.9858641,20241011,-0.3371054,-2.7103843,-0.8473656
234.49095,277.65007,125.10382,2.2366,0.1681222,0.17793897,3.1305598,20241014,-0.3988575,-3.4627380,0.0905156
258.36962,295.78552,337.69505,5.7736,0.128209,0.26602816,2.3943317,20240704,-2.3114412,0.9318458,-0.0015321
