x_pred,y_pred,z_pred,x_true,y_true,z_true
2.8333247,1.0827969,-0.45797807,2.6177162,1.1585204,-0.4455998
3.1363275,-1.3365526,0.6471685,2.9543079,-1.2818444,0.6333788
0.9239253,-2.6155586,0.6170331,0.9645886,-2.7517475,0.5854836
2.7143605,0.045255523,-0.25185093,2.3874591,0.1770697,-0.2959736
0.59699816,-2.8603704,0.23122573,0.6983265,-2.8332623,0.1670753
1.555559,1.2010655,-0.50017524,1.2949149,1.4068969,-0.5027394
-1.7705985,1.7667986,-0.1713186,-1.7237031,1.5054605,-0.190289
-1.335925,-1.8637977,0.26949543,-1.4600937,-2.045677,0.215879
0.23860992,-2.7689614,-0.050205562,-0.233854,-2.6612567,-0.0723963
0.29554015,3.2406669,0.09627211,0.0589697,3.4179974,0.0559189
-1.9766816,1.8945256,0.08971064,-2.0862248,1.7087212,0.0571864
2.0744007,1.1368109,0.12120085,1.8630905,1.1455277,0.1297694
-2.336906,0.26315948,0.52981025,-2.3826295,0.091539,0.5039936
-1.9015242,-0.94907856,0.28372774,-1.8773194,-1.1082639,0.2885521
-2.7899845,0.3485032,-0.5358865,-2.904412,0.430789,-0.5219662
0.7071329,2.689232,-0.106982164,0.5703628,2.614724,-0.1379723
-0.08661593,2.8343909,-0.13939947,-0.3249602,2.759839,-0.1311562
-1.4960145,-2.0927522,0.4850927,-1.5490449,-2.1100049,0.4646519
-2.201705,1.2050633,-0.04540472,-2.297183,1.1728741,-0.0601468
-1.7902755,1.1543096,0.013336497,-1.8842285,1.0360513,-0.0217497
-2.3932312,-1.0760255,0.13601606,-2.3664275,-1.1171856,0.1155534
2.718394,0.43148723,-0.57981306,2.6326774,0.4606118,-0.5405379
1.3286394,-3.2496467,-0.43626228,1.2490658,-2.9224707,-0.4120594
-2.3469408,-1.8169495,0.046108115,-2.3768698,-1.822323,-0.0007304
1.0274838,2.469087,-0.6242005,0.7596596,2.5004314,-0.651527
-2.4066117,0.7957642,0.18055524,-2.5024872,0.5975387,0.1373507
2.4609625,-0.079390205,0.0021440417,2.2881194,-0.0103696,-0.0630049
