m,peri,node,incl,e,n,a,date
145.84905,73.28579,80.25414,10.5879,0.079184,0.21418047,2.7666197,20241101
126.06756,310.89226,172.90614,34.92186,0.2304384,0.2137487,2.7703442,20240927
127.32529,247.81975,169.83829,12.98815,0.2561092,0.22588717,2.6701869,20240607
278.02316,151.67629,103.70474,7.14398,0.0900011,0.27169443,2.3609252,20240306
350.98291,359.23648,141.46063,5.35914,0.1872507,0.23840266,2.5758979,20240603
248.27292,239.64813,138.61983,14.73436,0.2024234,0.26082989,2.4260392,20240817
314.75784,145.52013,259.49897,5.51948,0.2298579,0.2674152,2.3860452,20241105
78.15445,285.4297,110.84571,5.89031,0.1565804,0.3018361,2.2010096,20241109
38.92985,5.72797,68.86899,5.5782,0.1228015,0.26746801,2.3857311,20240603
145.93643,312.63001,283.14844,3.83162,0.1104436,0.17702497,3.1413261,20241105
71.50262,196.07085,125.50589,4.63153,0.099433,0.25648366,2.4533692,20241108
271.07526,69.56953,235.35583,8.3741,0.2202008,0.27638673,2.3341276,20240705
305.54672,79.22238,43.208,16.53187,0.0854027,0.23814779,2.5777354,20241103
278.47409,98.05015,86.01014,9.12907,0.1630221,0.23650409,2.5896652,20241103
21.74829,98.76876,292.88875,11.75582,0.187584,0.22925754,2.6439524,20241007
321.86559,229.58879,150.019,3.09723,0.1341243,0.19727834,2.9224681,20241102
91.43731,135.68951,125.53228,5.5924,0.1322065,0.25381291,2.4705496,20241031
113.87109,228.05394,150.33595,10.13205,0.2182705,0.28348491,2.2950003,20241110
353.0785,182.67025,211.03864,1.57362,0.1574996,0.25825938,2.4421105,20241103
284.30987,257.45788,205.97889,0.70933,0.1437312,0.26377861,2.4079252,20241102
142.86885,250.03029,80.8373,3.06459,0.1646959,0.2595325,2.4341176,20241111
231.49217,357.99668,65.9744,13.7019,0.0988888,0.19848182,2.9106427,20241111
31.55503,61.55758,66.4921,10.10936,0.2309681,0.23131423,2.6282569,20240705
346.13416,108.96103,36.39034,0.73676,0.1153213,0.17689487,3.1428662,20241110
343.19156,90.20199,214.09236,21.60817,0.2542429,0.2650117,2.4004501,20240925
199.47696,195.11094,45.75084,3.55712,0.0881558,0.22738194,2.6584719,20241106
163.43418,356.48239,94.76724,1.58335,0.1714459,0.27399448,2.3476941,20241003
340.33944,343.38567,144.15684,9.42186,0.1493356,0.21284962,2.77814,20241030
48.39596,62.00528,356.26097,6.07722,0.0736232,0.2414123,2.5544444,20240920
157.17392,87.04962,307.41505,2.09342,0.1269883,0.27085224,2.3658167,20240711
42.82667,61.80841,30.79895,26.32078,0.2159567,0.17549538,3.1595526,20240707
146.94438,338.14768,220.36152,5.52221,0.0816492,0.23690075,2.5867736,20241106
26.282,338.64985,8.42897,1.85197,0.3317359,0.20235509,2.8733815,20241110
215.23102,329.82953,184.32646,5.4978,0.1068438,0.22391329,2.6858565,20241110
234.15512,214.68962,353.26978,7.86404,0.2188175,0.18877345,3.0096,20241111
12.79736,47.8366,358.18419,18.37121,0.3064861,0.21658564,2.7460996,20241110
35.31553,62.17491,7.24171,3.06852,0.1750387,0.22951033,2.6420106,20240529
35.73521,169.57651,295.50707,6.95146,0.150878,0.21715978,2.7412572,20240703
8.48027,209.95919,156.9261,10.37094,0.1120252,0.21396498,2.768477,20241009
325.28827,269.36041,94.15642,4.25589,0.0460834,0.28873387,2.2671011,20241109
203.19379,46.49477,177.90454,15.73603,0.2716936,0.21392695,2.7688051,20241110
359.93319,237.25613,84.1661,8.51124,0.2219832,0.25818882,2.4425555,20241105
20.93085,16.12739,264.74715,3.47069,0.1684711,0.30140061,2.2031292,20241101
244.38864,344.1378,131.4879,3.71221,0.1495954,0.26146242,2.4221249,20241105
118.59878,87.33039,147.58415,6.60581,0.082995,0.21975222,2.7196553,20241106
152.38414,177.08008,181.06973,2.35176,0.172418,0.24566398,2.5248858,20240703
94.01464,315.8982,2.97222,4.96797,0.1310309,0.20115812,2.8847687,20241111
70.21876,251.06317,183.42988,6.55899,0.0665066,0.17956092,3.1116794,20241110
240.77834,113.37707,284.98895,3.20128,0.2216468,0.18066125,3.0990318,20241011
209.72508,200.03156,173.46493,2.83915,0.2848911,0.22825633,2.6516783,20240712
278.5707,1.89034,175.89925,9.97155,0.066139,0.27073566,2.3664958,20241107
239.99155,342.9512,128.58051,7.48075,0.1116852,0.18127123,3.0920758,20241108
168.1956,314.30584,143.44036,5.18075,0.2028143,0.23250573,2.6192701,20241018
99.24925,345.6317,313.16775,11.79572,0.1969099,0.22053223,2.7132387,20241111
71.20086,5.16615,10.30602,7.17515,0.1450094,0.21501362,2.7594682,20241111
357.83925,104.89548,192.93672,8.08121,0.237131,0.23547242,2.5972237,20241110
99.88237,210.75954,198.89886,15.23636,0.1085555,0.17597462,3.1538137,20240703
335.07849,33.97945,161.06346,5.07231,0.0452679,0.2222627,2.6991374,20240707
240.22822,211.03668,169.92129,8.64722,0.1168429,0.2204019,2.7143082,20240922
21.62034,270.77515,191.52688,3.60061,0.1845435,0.26638604,2.3921867,20241111
294.00688,12.86276,333.54969,18.20303,0.1641021,0.19102888,2.9858641,20241011
234.49095,277.65007,125.10382,2.2366,0.1681222,0.17793897,3.1305598,20241014
258.36962,295.78552,337.69505,5.7736,0.128209,0.26602816,2.3943317,20240704
125.19985,181.00063,308.96154,1.30557,0.1262504,0.22444912,2.6815801,20241011
210.42944,103.65207,155.13686,3.5614,0.1264873,0.15634391,3.4125739,20241111
71.99185,43.34237,7.48489,3.04437,0.1725089,0.22906147,2.6454609,20240624
81.31169,107.25172,202.38441,6.02817,0.1845633,0.26136142,2.4227489,20241110
325.78522,304.81834,44.0524,7.96086,0.1844895,0.21228852,2.7830331,20241101
325.99883,288.23002,184.95241,8.58514,0.1698281,0.19161315,2.9797912,20241004
176.17247,255.49538,47.64337,11.59692,0.1827468,0.23323253,2.6138258,20241111
291.74687,267.08732,315.91545,23.24443,0.1766717,0.21570018,2.7536097,20240601
166.73975,102.88262,207.93417,5.41849,0.1215015,0.28903155,2.2655442,20240528
245.86689,56.34287,6.83504,2.36942,0.0422453,0.22660479,2.6645466,20241111
339.33361,174.8575,197.11443,4.07207,0.2362032,0.21262818,2.7800686,20241110
52.24719,339.61865,359.29595,4.98989,0.3038688,0.2252743,2.6750277,20241111
236.98925,252.0743,204.28192,2.12293,0.1674765,0.1565078,3.4101911,20241109
16.12446,61.343,1.08304,2.42068,0.133927,0.22600113,2.6692893,20241111
15.9233,153.16278,333.30586,8.67906,0.2032704,0.23219159,2.621632,20240701
24.02553,201.50903,206.51634,4.6132,0.1912313,0.25779171,2.4450632,20241104
304.00728,139.61339,218.64391,8.67689,0.1996869,0.28326484,2.2961889,20241024
36.70071,51.29478,0.90482,7.80043,0.2120684,0.20456905,2.8526124,20241108
245.26651,110.87872,25.42681,2.82634,0.2209041,0.21471397,2.762035,20241110
335.91821,170.00984,27.66873,4.96721,0.0826758,0.25995411,2.431485,20240708
236.07765,15.07102,327.50889,9.31344,0.2357541,0.27137592,2.3627721,20240710
317.06209,122.88739,203.04837,11.96028,0.1933554,0.22797899,2.6538284,20240925
351.88061,309.06612,86.06908,4.82228,0.2165601,0.18023565,3.1039086,20241106
